Author(s),Title,Publication Date,Source,Page Numbers,Link,Abstract,Countries,heatwave,heat wave,heat  wave,heat  action  plan,heat  health,heat early warning system,heat-health action plan,heat-health warning  systems,extreme heat management,heat wave management,public health heat wave alert
"CJ Tomlinson, L Chapman… - … of health …, 2011 - ij-healthgeographics.biomedcentral …","Including the urban heat island in spatial heat health risk assessment strategies: a case study for Birmingham, UK","CJ Tomlinson, L Chapman… - … of health …, 2011 - ij-healthgeographics.biomedcentral …","CJ Tomlinson, L Chapman… - … of health …, 2011 - ij-healthgeographics.biomedcentral …",[HTML] biomedcentral.com,https://ij-healthgeographics.biomedcentral.com/articles/10.1186/1476-072X-10-42,"… techniques [40, 41] has allowed the spatial extent of the UHI to be measured at a higher 
resolution than previously, and this paper focuses on using this data for heat health risk studies. …","Australia, Brazil, Canada, Switzerland, Chile, China, Spain, France, United Kingdom, Greece, Italy, Japan, Mexico, Netherlands, Peru, Portugal, United States",1,1,0,0,0,0,0,0,0,0,0
"M Ellena, M Breil, S Soriani - Urban Climate, 2020 - Elsevier",The heat-health nexus in the urban context: A systematic literature review exploring the socio-economic vulnerabilities and built environment characteristics,"M Ellena, M Breil, S Soriani - Urban Climate, 2020 - Elsevier","M Ellena, M Breil, S Soriani - Urban Climate, 2020 - Elsevier",[HTML] sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2212095520301176,"… pattern of current and future human health risk in the next future in … health risk due to 
heat in diversified intra-urban context is necessary to improve our understanding of the heat-health …",,0,0,0,0,0,0,0,0,0,0,0
"S Hajat, SC Sheridan, MJ Allen… - … of public health, 2010 - ajph.aphapublications.org",Heat–health warning systems: a comparison of the predictive capacity of different approaches to identifying dangerously hot days,"S Hajat, SC Sheridan, MJ Allen… - … of public health, 2010 - ajph.aphapublications.org","S Hajat, SC Sheridan, MJ Allen… - … of public health, 2010 - ajph.aphapublications.org",[PDF] aphapublications.orgFull View,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2009.169748,"… several heat–health warning systems to predict days of heat-… of the relationship between heat 
and health. For example, … models of heat stress and known physiologic effects of heat fluxes…",,0,0,0,0,0,0,0,0,0,0,0
"S Singh, EG Hanna, T Kjellstrom - Health promotion international, 2015 - academic.oup.com",Working in Australia's heat: Health promotion concerns for health and productivity,"S Singh, EG Hanna, T Kjellstrom - Health promotion international, 2015 - academic.oup.com","S Singh, EG Hanna, T Kjellstrom - Health promotion international, 2015 - academic.oup.com",[HTML] oup.com,https://academic.oup.com/heapro/article-abstract/30/2/239/561863,"… whether heat exposure is an emerging occupational health and safety (OHS) hazard in 
need of attention across health promotion and health protection realms to reduce health risk. …",,0,0,0,0,0,0,0,0,0,0,0
"KL Ebi - Journal of Risk Research, 2007 - Taylor & Francis",Towards an early warning system for heat events,"KL Ebi - Journal of Risk Research, 2007 - Taylor & Francis","KL Ebi - Journal of Risk Research, 2007 - Taylor & Francis",[PDF] researchgate.net,https://www.tandfonline.com/doi/abs/10.1080/13669870701447972,"… For example, some heat event early warning systems in the … that a heat event could arise, 
and a warning that indicates a heat … terms ‘watch’ and ‘warning’ because they have been used …",,0,0,0,0,0,0,0,0,0,0,0
"JJ Hess, KL Ebi - Annals of the New York Academy of Sciences, 2016 - Wiley Online Library",Iterative management of heat early warning systems in a changing climate,"JJ Hess, KL Ebi - Annals of the New York Academy of Sciences, 2016 - Wiley Online Library","JJ Hess, KL Ebi - Annals of the New York Academy of Sciences, 2016 - Wiley Online Library",Save Cite Cited by 61 Related articles All 5 versions  ,https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/nyas.13258,"… Extreme heat is a leading weather-related cause of morbidity and mortality, with heat … The 
use of heat early warning and response systems (HEWSs) that integrate weather forecasts with …",,0,0,0,0,0,0,0,0,0,0,0
"S McElroy, L Schwarz, H Green, I Corcos… - Science of the total …, 2020 - Elsevier",Defining heat waves and extreme heat events using sub-regional meteorological data to maximize benefits of early warning systems to population health,"S McElroy, L Schwarz, H Green, I Corcos… - Science of the total …, 2020 - Elsevier","S McElroy, L Schwarz, H Green, I Corcos… - Science of the total …, 2020 - Elsevier",[PDF] ucsd.edu,https://www.sciencedirect.com/science/article/pii/S004896972031189X,"… early warning systems by examining the heat-health relationship within the three climate 
zones compared to the entire county climate thresholds to indicate the importance of local heat …",,0,0,0,0,0,0,0,0,0,0,0
"A Vaidyanathan, S Saha… - Proceedings of the …, 2019 - National Acad Sciences",Assessment of extreme heat and hospitalizations to inform early warning systems,"A Vaidyanathan, S Saha… - Proceedings of the …, 2019 - National Acad Sciences","A Vaidyanathan, S Saha… - Proceedings of the …, 2019 - National Acad Sciences",[PDF] pnas.orgFull View,https://www.pnas.org/doi/abs/10.1073/pnas.1806393116,"… Heat early warning systems and action plans have been shown to reduce risks of heat … 
This evaluation provides useful information for heat early warning system and action plan …",,0,0,0,0,0,0,0,0,0,0,0
"A Casanueva, A Burgstall, S Kotlarski… - International journal of …, 2019 - mdpi.com",Overview of existing heat-health warning systems in Europe,"A Casanueva, A Burgstall, S Kotlarski… - International journal of …, 2019 - mdpi.com","A Casanueva, A Burgstall, S Kotlarski… - International journal of …, 2019 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/16/15/2657,"… , describes the heat early warning and heat action for … early warning system and inter-agency 
coordination, (3) capacity building among health care professionals and (4) reducing heat …","Austria, Australia, Belgium, Belarus, Canada, Switzerland, Germany, Denmark, Spain, France, Georgia, Greece, Hong Kong, Hungary, India, Italy, North Macedonia, Niger, Netherlands, Oman, Peru, Portugal, Romania, Sweden, Slovenia, United States",1,1,0,0,0,0,1,0,0,0,0
"FS Kanti, A Alari, B Chaix, T Benmarhnia - Environmental research, 2022 - Elsevier",Comparison of various heat waves definitions and the burden of heat-related mortality in France: Implications for existing early warning systems,"FS Kanti, A Alari, B Chaix, T Benmarhnia - Environmental research, 2022 - Elsevier","FS Kanti, A Alari, B Chaix, T Benmarhnia - Environmental research, 2022 - Elsevier",[PDF] hal.science,https://www.sciencedirect.com/science/article/pii/S0013935122016863,"… the set of extreme heat conditions that drive the highest health burden in a given geographical 
context is particularly helpful when designing or updating heat early warning systems. …",,0,0,0,0,0,0,0,0,0,0,0
"W Yi, APC Chan, X Wang, J Wang - Automation in Construction, 2016 - Elsevier",Development of an early-warning system for site work in hot and humid environments: A case study,"W Yi, APC Chan, X Wang, J Wang - Automation in Construction, 2016 - Elsevier","W Yi, APC Chan, X Wang, J Wang - Automation in Construction, 2016 - Elsevier",Save Cite Cited by 137 Related articles All 10 versions  ,https://www.sciencedirect.com/science/article/pii/S0926580515002289,"… This study presents an early-warning system for working in hot and humid environment. The 
developed system can monitor workers' heat strain level when they have to work under such …",,0,0,0,0,0,0,0,0,0,0,0
"KL Ebi, JK Schmier - Epidemiologic reviews, 2005 - academic.oup.com",A stitch in time: improving public health early warning systems for extreme weather events,"KL Ebi, JK Schmier - Epidemiologic reviews, 2005 - academic.oup.com","KL Ebi, JK Schmier - Epidemiologic reviews, 2005 - academic.oup.com",[PDF] oup.com,https://academic.oup.com/epirev/article-abstract/27/1/115/520819,"… For example, some heat wave early warning systems in the United States have two levels 
of … such that a heat wave could arise, and a “warning,” which indicates that a heat wave has …",,0,0,0,0,0,0,0,0,0,0,0
"A Matzarakis, G Laschewski, S Muthers - Atmosphere, 2020 - mdpi.com",The heat health warning system in Germany—Application and warnings for 2005 to 2019,"A Matzarakis, G Laschewski, S Muthers - Atmosphere, 2020 - mdpi.com","A Matzarakis, G Laschewski, S Muthers - Atmosphere, 2020 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/2073-4433/11/2/170,"… of an advanced procedure known as a “heat health warning system” (HHWS). It is aimed at 
… heat health warning systems as a consequence of the 2003 heat waves. Specific periods of …","Austria, Belgium, Switzerland, Germany, Spain, France, Georgia, Greece, Hungary, Italy, North Macedonia, Mali, Netherlands, Oman, Poland, Portugal, Romania, Sweden, Slovenia",0,1,0,0,0,0,0,0,0,0,0
"R Lowe, M García-Díez, J Ballester, J Creswick… - International journal of …, 2016 - mdpi.com",Evaluation of an early-warning system for heat wave-related mortality in Europe: Implications for sub-seasonal to seasonal forecasting and climate services,"R Lowe, M García-Díez, J Ballester, J Creswick… - International journal of …, 2016 - mdpi.com","R Lowe, M García-Díez, J Ballester, J Creswick… - International journal of …, 2016 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/13/2/206,"… climate-resilient health systems. A HHAP relies on early-warning systems for timely activation 
… These results are promising for the development of more localised early warning systems. …","Switzerland, China, Germany, Denmark, Spain, France, United Kingdom, Georgia, India, Italy, Mali, Niger, Oman, Slovenia, Chad, Taiwan, United States",1,1,0,0,0,0,1,0,0,0,0
"F Matthies, G Bickler, NC Marín - 2008 - books.google.com",Heat-health action plans: guidance,"F Matthies, G Bickler, NC Marín - 2008 - books.google.com","F Matthies, G Bickler, NC Marín - 2008 - books.google.com",[PDF] who.int,https://books.google.com/books?hl=en&lr=&id=iMZbfQn_4akC&oi=fnd&pg=PA1&dq=heat-health+action+plan&ots=s1lPXolIwf&sig=Qxt2TSisD9dALYdrfdnef_Ec_sY,"… planning and ensuring that health care and social systems are ready to act. These actions 
can be integrated into a defined heat–health action plan. … of heat–health action plans, their …",,0,0,0,0,0,0,1,0,0,0,0
"R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier",Progress in extreme heat management and warning systems: A systematic review of heat-health action plans (1995-2020),"R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier","R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier",Save Cite Cited by 41 Related articles  ,https://www.sciencedirect.com/science/article/pii/S2210670721007538,"… and sub-national heat-health prevention and research efforts. In 2008, the WHO 
Regional Office for Europe developed and published guidance on heat-health action plans (HHAPs). …",,0,0,0,0,0,0,0,0,0,0,0
"GS Martinez, C Linares, A Ayuso, V Kendrovski… - Environmental …, 2019 - Elsevier",Heat-health action plans in Europe: Challenges ahead and how to tackle them,"GS Martinez, C Linares, A Ayuso, V Kendrovski… - Environmental …, 2019 - Elsevier","GS Martinez, C Linares, A Ayuso, V Kendrovski… - Environmental …, 2019 - Elsevier",[PDF] researchgate.net,https://www.sciencedirect.com/science/article/pii/S0013935119303457,"… a comprehensive framework for prevention, the heat-health action plans (HHAPs). This … 
exposure; acclimatization and adaptation; heat-health governance and stakeholder involvement; …",,0,0,0,0,0,0,0,0,0,0,0
"K Knowlton, SP Kulkarni, GS Azhar… - International journal of …, 2014 - mdpi.com","Development and implementation of South Asia's first heat-health action plan in Ahmedabad (Gujarat, India)","K Knowlton, SP Kulkarni, GS Azhar… - International journal of …, 2014 - mdpi.com","K Knowlton, SP Kulkarni, GS Azhar… - International journal of …, 2014 - mdpi.com",[HTML] mdpi.com,https://www.mdpi.com/1660-4601/11/4/3473,"… heat action plan for Ahmedabad. Its specific objectives were: (1) to assess heat-health impacts 
… project, offer details on the first heat-health action plan implemented in a South Asian city, …","Bangladesh, Brazil, Canada, Switzerland, China, Georgia, India, Oman, Pakistan, United States",1,1,0,0,0,1,1,0,0,0,0
"GS Martinez, V Kendrovski, MA Salazar… - Environmental …, 2022 - Elsevier",Heat-health action planning in the WHO European Region: Status and policy implications,"GS Martinez, V Kendrovski, MA Salazar… - Environmental …, 2022 - Elsevier","GS Martinez, V Kendrovski, MA Salazar… - Environmental …, 2022 - Elsevier",Save Cite Cited by 9 Related articles All 8 versions  ,https://www.sciencedirect.com/science/article/pii/S0013935122010362,"… Several European countries have implemented heat health action plans (HHAPs) to prevent 
ill health and excess mortality from heat. This paper assesses the state of implementation of …",,0,0,0,0,0,0,0,0,0,0,0
"MS Ragettli, M Röösli - Bundesgesundheitsblatt-Gesundheitsforschung …, 2019 - Springer",Heat-health action plans to prevent heat-related deaths—experiences from Switzerland,"MS Ragettli, M Röösli - Bundesgesundheitsblatt-Gesundheitsforschung …, 2019 - Springer","MS Ragettli, M Röösli - Bundesgesundheitsblatt-Gesundheitsforschung …, 2019 - Springer",Save Cite Cited by 5 Related articles All 5 versions  ,https://link.springer.com/article/10.1007/s00103-019-02928-8,"… of Ticino have developed heat-health action plans. Such plans integrate and coordinate 
the … Analyses show that heat-health action plans have contributed to the prevention of heat-…","Switzerland, Kenya",1,1,0,0,0,0,1,0,0,0,0
"A Casanueva, A Burgstall, S Kotlarski… - International journal of …, 2019 - mdpi.com",Overview of existing heat-health warning systems in Europe,"A Casanueva, A Burgstall, S Kotlarski… - International journal of …, 2019 - mdpi.com","A Casanueva, A Burgstall, S Kotlarski… - International journal of …, 2019 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/16/15/2657,"… Here we present a state-of-the-art review of HHWSs and heat-health action plans (HHAPs) 
of 16 countries, based on existing literature, web research and direct contact to National …","Austria, Australia, Belgium, Belarus, Canada, Switzerland, Germany, Denmark, Spain, France, Georgia, Greece, Hong Kong, Hungary, India, Italy, North Macedonia, Niger, Netherlands, Oman, Peru, Portugal, Romania, Sweden, Slovenia, United States",1,1,0,0,0,0,1,0,0,0,0
"HC Ho, K Lau, C Ren, D Wang - Environmental Science and Pollution …, 2022 - Springer",Systematic identification of heat events associated with emergency admissions to enhance the heat-health action plan in a subtropical city: a data-driven approach,"HC Ho, K Lau, C Ren, D Wang - Environmental Science and Pollution …, 2022 - Springer","HC Ho, K Lau, C Ren, D Wang - Environmental Science and Pollution …, 2022 - Springer",[PDF] cuhk.edu.hk,https://link.springer.com/article/10.1007/s11356-022-21963-8,"… Reduction (UNDRR), a heat-health action plan should address various impacts of hazards 
… ) in Hong Kong in order to enhance the heat-health action plan. Immediate, short-term, and …","Australia, Canada, Switzerland, China, Spain, France, United Kingdom, Hong Kong, Japan, Kenya, Malaysia, Sweden, Thailand",1,1,0,0,0,0,1,0,1,0,0
"HC Çulpan, Ü Şahin, G Can - Atmosphere, 2022 - mdpi.com",A Step to Develop Heat-Health Action Plan: Assessing Heat Waves' Impacts on Mortality,"HC Çulpan, Ü Şahin, G Can - Atmosphere, 2022 - mdpi.com","HC Çulpan, Ü Şahin, G Can - Atmosphere, 2022 - mdpi.com",[HTML] mdpi.com,https://www.mdpi.com/2073-4433/13/12/2126,"… the implementation of Heat-Health Action Plans, which … the health system, and improvements 
in urban planning [15]. … Therefore, there is a need for local and national action plans …","Australia, Canada, Switzerland, Denmark, Spain, France, Georgia, India, Iran, Mali, Oman, Pakistan, Turkey, United States",1,1,0,0,0,0,1,0,0,0,0
"M Pascal, K Laaidi, M Ledrans, E Baffert… - International journal of …, 2006 - Springer",France's heat health watch warning system,"M Pascal, K Laaidi, M Ledrans, E Baffert… - International journal of …, 2006 - Springer","M Pascal, K Laaidi, M Ledrans, E Baffert… - International journal of …, 2006 - Springer",[PDF] academia.edu,https://link.springer.com/article/10.1007/s00484-005-0003-x,"… A national action plan was set up, using this watch warning … by the set up of an Action Plan 
in Marseille, after the 1983 event, … that the activation of the action plan is not totally unjustified. …","Belgium, Spain, Finland, France, Jordan, Kenya",1,1,0,0,0,0,0,0,0,0,0
"A Casanueva, A Burgstall, S Kotlarski… - International journal of …, 2019 - mdpi.com",Overview of existing heat-health warning systems in Europe,"A Casanueva, A Burgstall, S Kotlarski… - International journal of …, 2019 - mdpi.com","A Casanueva, A Burgstall, S Kotlarski… - International journal of …, 2019 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/16/15/2657,"… development of heat-health warning systems and action plans … of 16 European heat-health 
warning systems and heat-health … the way for future heat-health warning systems, such as the …","Austria, Australia, Belgium, Belarus, Canada, Switzerland, Germany, Denmark, Spain, France, Georgia, Greece, Hong Kong, Hungary, India, Italy, North Macedonia, Niger, Netherlands, Oman, Peru, Portugal, Romania, Sweden, Slovenia, United States",1,1,0,0,0,0,1,0,0,0,0
"J Tan, LS Kalkstein, J Huang, S Lin, H Yin… - International Journal of …, 2004 - Springer",An operational heat/health warning system in Shanghai,"J Tan, LS Kalkstein, J Huang, S Lin, H Yin… - International Journal of …, 2004 - Springer","J Tan, LS Kalkstein, J Huang, S Lin, H Yin… - International Journal of …, 2004 - Springer",[PDF] udel.edu,https://link.springer.com/article/10.1007/s00484-003-0193-z,"… it is our belief that an operational heat/health watch/warning system can be used to save 
lives and lessen the negative impact of heat waves. The watch/warning systems are based on a …","Switzerland, China, Japan, Kenya",0,1,0,0,0,0,0,0,0,0,0
"S Hajat, SC Sheridan, MJ Allen… - … journal of public …, 2010 - ajph.aphapublications.org",Heat–health warning systems: a comparison of the predictive capacity of different approaches to identifying dangerously hot days,"S Hajat, SC Sheridan, MJ Allen… - … journal of public …, 2010 - ajph.aphapublications.org","S Hajat, SC Sheridan, MJ Allen… - … journal of public …, 2010 - ajph.aphapublications.org",[PDF] aphapublications.orgFull View,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2009.169748,"… We compared the ability of several heat–health warning systems to predict days of heat-… 
Heat–health warning systems initiate emergency public health interventions once forecasts have …",,0,0,0,0,0,0,0,0,0,0,0
"A Matzarakis, G Laschewski, S Muthers - Atmosphere, 2020 - mdpi.com",The heat health warning system in Germany—Application and warnings for 2005 to 2019,"A Matzarakis, G Laschewski, S Muthers - Atmosphere, 2020 - mdpi.com","A Matzarakis, G Laschewski, S Muthers - Atmosphere, 2020 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/2073-4433/11/2/170,"… and warned by means of an advanced procedure known as a “heat health warning system 
(… European countries have implemented heat health warning systems as a consequence of …","Austria, Belgium, Switzerland, Germany, Spain, France, Georgia, Greece, Hungary, Italy, North Macedonia, Mali, Netherlands, Oman, Poland, Portugal, Romania, Sweden, Slovenia",0,1,0,0,0,0,0,0,0,0,0
"R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier",Progress in extreme heat management and warning systems: A systematic review of heat-health action plans (1995-2020),"R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier","R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier",Save Cite Cited by 41 Related articles  ,https://www.sciencedirect.com/science/article/pii/S2210670721007538,"… developing and installing heat-health warning systems (HHWSs). In … of public attention and 
amplified heat-health research. It led to … and sub-national heat-health frameworks worldwide. …",,0,0,0,0,0,0,0,0,0,0,0
"M Pascal, K Laaidi, M Ledrans, E Baffert… - International journal of …, 2006 - Springer",France's heat health watch warning system,"M Pascal, K Laaidi, M Ledrans, E Baffert… - International journal of …, 2006 - Springer","M Pascal, K Laaidi, M Ledrans, E Baffert… - International journal of …, 2006 - Springer",[PDF] academia.edu,https://link.springer.com/article/10.1007/s00484-005-0003-x,"In 2003, a Heat Health Watch Warning System was developed in France to anticipate heat 
waves that may result in a large excess of mortality. The system was developed on the basis …","Belgium, Spain, Finland, France, Jordan, Kenya",1,1,0,0,0,0,0,0,0,0,0
"T Li, C Chen, W Cai - The Lancet, 2022 - thelancet.com",The global need for smart heat–health warning systems,"T Li, C Chen, W Cai - The Lancet, 2022 - thelancet.com","T Li, C Chen, W Cai - The Lancet, 2022 - thelancet.com",Save Cite Cited by 5 Related articles All 3 versions  ,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(22)01974-2/fulltext,"… ment of smart heat–health warning systems in both highincome and … warning system with 
full coverage of heat– health risk management, which allows identification of automatic warning …",,0,0,0,0,0,0,0,0,0,0,0
"M Morabito, A Messeri, P Noti, A Casanueva… - International journal of …, 2019 - mdpi.com",An occupational heat–health warning system for Europe: the HEAT-SHIELD platform,"M Morabito, A Messeri, P Noti, A Casanueva… - International journal of …, 2019 - mdpi.com","M Morabito, A Messeri, P Noti, A Casanueva… - International journal of …, 2019 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/16/16/2890,"… Existing heat–health warning systems focus on warning vulnerable groups in order to 
reduce mortality. However, human health and performance are affected at much lower …","Belgium, Canada, Switzerland, China, Germany, Denmark, Spain, France, Georgia, Greece, Croatia, Italy, Japan, Malaysia, Niger, Netherlands, Oman, Saudi Arabia, Slovenia, Chad",1,1,0,0,0,0,1,0,0,0,0
"LS Kalkstein, SC Sheridan, AJ Kalkstein - Biometeorology for adaptation …, 2009 - Springer","Heat/health warning systems: development, implementation, and intervention activities","LS Kalkstein, SC Sheridan, AJ Kalkstein - Biometeorology for adaptation …, 2009 - Springer","LS Kalkstein, SC Sheridan, AJ Kalkstein - Biometeorology for adaptation …, 2009 - Springer",[PDF] researchgate.net,https://link.springer.com/chapter/10.1007/978-1-4020-8921-3_3,"… Kalkstein, LS, 2002: Description of our heat/health watch warning systems: their nature and 
… Kalkstein, LS, 2006: Heat and health: methodological considerations for warning system …","Canada, Denmark, France, Italy, Kenya, Netherlands, New Zealand, Peru, Portugal, Slovakia, United States",1,1,0,0,0,0,0,0,0,0,0
"AJ Kalkstein, SC Sheridan - International journal of biometeorology, 2007 - Springer","The social impacts of the heat–health watch/warning system in Phoenix, Arizona: assessing the perceived risk and response of the public","AJ Kalkstein, SC Sheridan - International journal of biometeorology, 2007 - Springer","AJ Kalkstein, SC Sheridan - International journal of biometeorology, 2007 - Springer",[PDF] asu.edu,https://link.springer.com/article/10.1007/s00484-006-0073-4,"… Furthermore, a new heat warning system has been developed based … heat–health research, 
there have been very few studies examining the social response to heat and heat warnings. …","Kenya, United States",0,1,0,0,0,0,0,0,0,0,0
"R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier",Progress in extreme heat management and warning systems: A systematic review of heat-health action plans (1995-2020),"R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier","R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier",Save Cite Cited by 41 Related articles  ,https://www.sciencedirect.com/science/article/pii/S2210670721007538,"… This study aims to present a systematic review of extreme heat management and planning 
systems/action plans in the form of existing HAPs, HHAPs and HHWS/HEWS. A plan is …",,0,0,0,0,0,0,0,0,0,0,0
"L Keith, S Meerow, T Wagner - Journal of Extreme Events, 2019 - World Scientific",Planning for extreme heat: a review,"L Keith, S Meerow, T Wagner - Journal of Extreme Events, 2019 - World Scientific","L Keith, S Meerow, T Wagner - Journal of Extreme Events, 2019 - World Scientific",[PDF] worldscientific.com,https://www.worldscientific.com/doi/abs/10.1142/S2345737620500037,"… “risk management” strategies (… heat resilience and conclude by identifying areas where 
scholars and practitioners can work together to advance our understanding of extreme heat …",,0,0,0,0,0,0,0,0,0,0,0
"JJ Hess, NA Errett, G McGregor… - Annual Review of …, 2023 - annualreviews.org",Public Health Preparedness for Extreme Heat Events,"JJ Hess, NA Errett, G McGregor… - Annual Review of …, 2023 - annualreviews.org","JJ Hess, NA Errett, G McGregor… - Annual Review of …, 2023 - annualreviews.org",[HTML] annualreviews.orgFull View,https://www.annualreviews.org/doi/abs/10.1146/annurev-publhealth-071421-025508,"… Extreme heat events (EHEs), commonly known as heat waves, are periods of abnormally high 
ambient temperatures. The hazard of extreme heat has … and effective management of heat-…",,0,0,0,0,0,0,0,0,0,0,0
"S Meerow, L Keith - Journal of the American Planning Association, 2022 - Taylor & Francis",Planning for extreme heat: A national survey of US planners,"S Meerow, L Keith - Journal of the American Planning Association, 2022 - Taylor & Francis","S Meerow, L Keith - Journal of the American Planning Association, 2022 - Taylor & Francis",[PDF] researchgate.net,https://www.tandfonline.com/doi/abs/10.1080/01944363.2021.1977682,"… Heat management strategies are efforts to prepare for and respond to extreme heat and 
include strategies related to energy, personal exposure, public health, and emergency …",,0,0,0,0,0,0,0,0,0,0,0
"E Oppermann, Y Strengers, C Maller… - Weather, Climate …, 2018 - journals.ametsoc.org",Beyond threshold approaches to extreme heat: Repositioning adaptation as everyday practice,"E Oppermann, Y Strengers, C Maller… - Weather, Climate …, 2018 - journals.ametsoc.org","E Oppermann, Y Strengers, C Maller… - Weather, Climate …, 2018 - journals.ametsoc.org",[HTML] ametsoc.orgFull View,https://journals.ametsoc.org/view/journals/wcas/10/4/wcas-d-17-0084_1.xml,"… Fenwick, 2016: The silent killer: Climate change and the health impacts of extreme heat. 
Climate Council of Australia Rep., 29 pp., https://www.climatecouncil.org.au/resources/…",,0,0,0,0,0,0,0,0,0,0,0
"E Mallen, B Stone, K Lanza - Urban Climate, 2019 - Elsevier","A methodological assessment of extreme heat mortality modeling and heat vulnerability mapping in Dallas, Texas","E Mallen, B Stone, K Lanza - Urban Climate, 2019 - Elsevier","E Mallen, B Stone, K Lanza - Urban Climate, 2019 - Elsevier",[PDF] gatech.edu,https://www.sciencedirect.com/science/article/pii/S2212095518300610,"… With limited resources, planners need a framework to prioritize heat management strategies 
to respond to localized heat vulnerability. Planners must be able to locate areas of high …",,0,0,0,0,0,0,0,0,0,0,0
"CJ Gabbe, G Pierce, E Petermann… - Journal of Planning …, 2021 - journals.sagepub.com",Why and how do cities plan for extreme heat?,"CJ Gabbe, G Pierce, E Petermann… - Journal of Planning …, 2021 - journals.sagepub.com","CJ Gabbe, G Pierce, E Petermann… - Journal of Planning …, 2021 - journals.sagepub.com",Save Cite Cited by 16 Related articles All 2 versions  ,https://journals.sagepub.com/doi/abs/10.1177/0739456X211053654,"… We develop an inventory of urban heat management and heat wave response strategies 
based on the literature and professional publications. We assess the presence of fourteen …",,0,0,0,0,0,0,0,0,0,0,0
"AM Fraser, MV Chester, D Eisenman - Urban Climate, 2018 - Elsevier",Strategic locating of refuges for extreme heat events (or heat waves),"AM Fraser, MV Chester, D Eisenman - Urban Climate, 2018 - Elsevier","AM Fraser, MV Chester, D Eisenman - Urban Climate, 2018 - Elsevier",[PDF] sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S221209551830124X,"… of heat management plans aimed at reducing morbidity and mortality during extreme heat 
events… Access to air conditioned space is known to reduce health risks associated with heat …",,0,0,0,0,0,0,0,0,0,0,0
"LE Parker, AJ McElrone, SM Ostoja, EJ Forrestel - Plant Science, 2020 - Elsevier",Extreme heat effects on perennial crops and strategies for sustaining future production,"LE Parker, AJ McElrone, SM Ostoja, EJ Forrestel - Plant Science, 2020 - Elsevier","LE Parker, AJ McElrone, SM Ostoja, EJ Forrestel - Plant Science, 2020 - Elsevier",[PDF] sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S0168945219315705,"… This literature review highlights the effects of extreme heat exposure on perennial … Finally, 
we explore available adaptive management strategies for California perennial specialty crops, …",,0,0,0,0,0,0,0,0,0,0,0
"L Keith, N Iroz-Elardo, E Austof, I Sami… - The journal of climate …, 2021 - Elsevier",Extreme heat at outdoor COVID-19 vaccination sites,"L Keith, N Iroz-Elardo, E Austof, I Sami… - The journal of climate …, 2021 - Elsevier","L Keith, N Iroz-Elardo, E Austof, I Sami… - The journal of climate …, 2021 - Elsevier",[HTML] sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2667278221000407,"… increasing the likelihood of extreme heat events, we also … management of chronic and acute 
heat risk. Federal emergency … , and emergency management perspectives to consider heat …",,0,0,0,0,0,0,0,0,0,0,0
"RZ Zaidi, M Pelling - Urban Studies, 2015 - journals.sagepub.com",Institutionally configured risk: Assessing urban resilience and disaster risk reduction to heat wave risk in London,"RZ Zaidi, M Pelling - Urban Studies, 2015 - journals.sagepub.com","RZ Zaidi, M Pelling - Urban Studies, 2015 - journals.sagepub.com",[PDF] academia.edu,https://journals.sagepub.com/doi/abs/10.1177/0042098013510957,"… constraints on the very system that this paper identifies as needing to have a greater role in 
risk management for heat waves, especially if resilience is to be built into everyday practices. …",,0,0,0,0,0,0,0,0,0,0,0
